NOFEU,CAUSE,SUP_HA,DATE_DEBUT,DATE_ETEIN
131,Humaine,1.01951772803,19495,19495
150,Humaine,1.96146440688,19500,19501
169,Humaine,2.46733017893,19505,19506
173,Humaine,34.5751862496,19505,19516
196,Humaine,4.60842516824,19507,19511
212,Foudre,19.7617922628,19508,19516
236,Foudre,7052.1414645,19509,19553
24,Humaine,30.7542523124,19482,19483
249,Foudre,5300.07791028,19509,19560
25,Humaine,2.18457662222,19483,19484
253,Foudre,3.82398154452,19509,19511
255,Foudre,0.446580854799,19509,19510
26,Humaine,4.8696891,19483,19485
265,Foudre,4051.87866038,19509,19560
271,Foudre,5124.59500761,19509,19550
275,Foudre,1134.43994854,19509,19529
277,Foudre,2619.380126749423,19509,19547
279,Foudre,1549.66502139,19509,19550
287,Foudre,2147.2104635,19509,19536
290,Foudre,159.704295436,19509,19529
293,Foudre,50062.8121017,19509,19533
295,Foudre,932.295001501,19509,19550
299,Foudre,5599.93841465,19509,19553
305,Foudre,1225.366188,19509,19550
306,Foudre,1857.77980294,19509,19550
318,Foudre,6.75878952696,19509,19521
323,Foudre,0.118130465983,19509,19511
335,Foudre,9.62352726191,19509,19512
352,Foudre,204.681997254,19509,19534
353,Foudre,13598.7260317,19509,19567
407,Foudre,1.70526853694,19509,19515
408,Foudre,645.010254256,19509,19550
411,Foudre,342.24722942,19509,19529
412,Foudre,236.670339671,19509,19529
423,Foudre,2.84006556023,19510,19516
426,Foudre,1.12458808389,19509,19514
436,Foudre,14.6531817987,19513,19520
439,Foudre,202.270371733,19509,19550
442,Foudre,2.43559048017,19509,19522
443,Foudre,27.8014979846,19509,19525
444,Foudre,0.301824937257,19513,19515
450,Foudre,18867.9613733,19509,19556
451,Foudre,768.505731473,19513,19557
453,Foudre,13844.638976,19513,19552
454,Foudre,2421.65603925,19513,19550
459,Foudre,725.784028947,19513,19553
462,Foudre,12739.5105163,19513,19552
475,Foudre,6.47828874834,19518,19527
479,Foudre,231.61470204871,19520,19567
55,Humaine,3.72769225288,19486,19487
60,Humaine,0.402672436371,19485,19488
641,Humaine,2.62342441006,19566,19568
67,Humaine,4.93974099603,19488,19489
